,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
0,"['🥺', '📌']",34,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0
1,"['🤔', '🥰']",2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
2,"['🙄', '👇']",15,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.13333333333333333
3,"['😭', '💔', '🥺']",11,0.0,0.9090909090909091,0.45454545454545453,0.5454545454545454,1.0909090909090908,0.18181818181818182,0.45454545454545453,1.1818181818181819
4,"['🔥', '🚨']",136,0.7352941176470589,0.19117647058823528,0.75,1.463235294117647,0.19852941176470587,1.5073529411764706,0.15441176470588236,0.9705882352941176
5,"['❤', '🚨']",36,0.9444444444444444,0.9722222222222222,0.027777777777777776,0.9722222222222222,0.9722222222222222,0.027777777777777776,0.9722222222222222,1.0277777777777777
6,"['🇫🇷', '🔴']",1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
7,"['😂', '💔', '🥺']",7,0.0,1.0,0.0,0.42857142857142855,1.0,0.14285714285714285,0.0,2.142857142857143
8,"['👇', '✅']",474,1.9620253164556962,1.0253164556962024,1.9514767932489452,1.9936708860759493,0.046413502109704644,1.9957805907172996,0.9957805907172996,1.0337552742616034
9,"['💔', '😭', '🤣']",1,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
10,"['😎', '🔥']",110,0.5636363636363636,0.8,0.5454545454545454,1.2636363636363637,0.03636363636363636,0.7545454545454545,0.3090909090909091,0.5545454545454546
11,"['💔', '🙄']",6,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666
12,"['😎', '🎉']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"['😂', '🔥', '🚨']",1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,"['🙏', '😭']",17,0.11764705882352941,0.29411764705882354,0.11764705882352941,0.5294117647058824,0.29411764705882354,0.23529411764705882,0.0,0.47058823529411764
15,"['🙄', '✅']",1,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0
16,"['❤', '‼']",1,2.0,3.0,3.0,4.0,2.0,2.0,0.0,2.0
17,"['😂', '💔', '😭']",7,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.7142857142857143
18,"['😂', '💔', '🔥']",4,0.25,0.5,0.25,0.75,0.0,0.5,0.0,0.75
19,"['🔥', '👇', '⚡']",1,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
20,"['😂', '🤔', '🤣']",2,3.5,1.0,2.5,3.5,1.0,2.5,0.5,1.0
21,"['😭', '💔']",151,0.2980132450331126,0.7086092715231788,0.3973509933774834,1.0,0.695364238410596,0.609271523178808,0.25165562913907286,0.6754966887417219
22,"['❌', '✅']",18,0.2222222222222222,0.4444444444444444,0.6111111111111112,1.7222222222222223,0.5555555555555556,0.9444444444444444,0.5555555555555556,0.5
23,"['🙄', '🤣']",3,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666
24,"['❤', '⚡']",7,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,0.0
25,"['❌', '🥺']",1,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
26,"['🙄', '🤔']",20,0.85,1.15,0.5,1.4,0.75,0.75,0.35,1.35
27,"['😂', '💔', '🤣']",6,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333
28,"['😩', '💔', '🔥']",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,"['🤔', '✅']",1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
30,"['😂', '🙏', '🙄']",1,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0
31,"['😎', '👇']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"['❌', '💥']",4,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0
33,"['🚨', '🔴']",7,1.2857142857142858,1.5714285714285714,1.8571428571428572,2.857142857142857,1.7142857142857142,3.142857142857143,0.8571428571428571,2.5714285714285716
34,"['🔥', '🔴', '💥']",55,0.0,2.8181818181818183,0.0,1.0545454545454545,1.8727272727272728,0.09090909090909091,0.9454545454545454,1.8727272727272728
35,"['❤', '💔', '🙏']",3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333
36,"['😂', '🚨']",24,0.2916666666666667,0.08333333333333333,0.875,0.5416666666666666,0.041666666666666664,1.0416666666666667,0.041666666666666664,1.4583333333333333
37,"['❤', '😭', '🙏']",1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
38,"['❤', '🔴']",1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
39,"['⚽', '✅']",6,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.0,0.5,0.6666666666666666,1.1666666666666667
40,"['👇', '🥰']",1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
41,"['😭', '📍']",1,2.0,2.0,3.0,6.0,1.0,6.0,1.0,4.0
42,"['👇', '🔴', '💥']",20,2.0,1.0,0.0,3.8,0.0,2.8,0.0,3.0
43,"['❤', '🎉']",125,0.08,0.72,0.16,0.256,0.8,0.16,0.28,1.016
44,"['🔥', '👉']",2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,"['😂', '‼']",4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"['😩', '😭', '❤']",1,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0
47,"['😩', '😭']",13,0.46153846153846156,0.9230769230769231,0.46153846153846156,1.0769230769230769,0.9230769230769231,0.6923076923076923,0.0,1.0769230769230769
48,"['🔥', '⚡', '💥']",2,1.0,1.0,0.0,6.0,0.0,5.0,0.0,1.0
49,['✅'],1177,0.3933729821580289,0.7068819031435853,0.22429906542056074,0.7527612574341547,0.5369583687340697,0.43075615972812237,0.18946474086661003,0.9575191163976211
50,"['😩', '💔', '😭']",3,0.6666666666666666,1.3333333333333333,1.0,2.0,1.3333333333333333,2.0,0.3333333333333333,1.0
51,"['🚨', '🥰']",1,0.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0
52,"['😭', '👇', '🥺']",2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
53,"['😂', '🙏', '🤣']",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
54,"['👇', '👀']",1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
55,['⚽'],133,0.13533834586466165,0.7142857142857143,0.045112781954887216,1.3533834586466165,0.5864661654135338,1.556390977443609,0.518796992481203,1.3759398496240602
56,"['🔴', '⚠']",1,2.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0
57,"['✅', '🤣']",1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
58,"['😩', '💔']",10,0.6,1.3,0.4,1.4,1.2,1.2,0.7,1.6
59,"['🥺', '💥']",1,5.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0
60,"['😂', '❤', '🔥']",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"['❤', '❌', '🎉']",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,"['🚨', '💥']",406,0.25862068965517243,0.45566502463054187,0.29064039408866993,0.6133004926108374,0.29802955665024633,0.6798029556650246,0.10591133004926108,1.2167487684729064
63,"['🔥', '✅']",14,0.07142857142857142,0.7857142857142857,1.1428571428571428,0.6428571428571429,0.8571428571428571,0.6428571428571429,0.0,1.1428571428571428
64,"['💔', '👇']",4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,['🥺'],998,0.22344689378757515,1.3256513026052104,0.18336673346693386,0.5360721442885772,1.3567134268537073,0.9018036072144289,0.467935871743487,0.872745490981964
66,"['👇', '📍']",3,1.6666666666666667,3.3333333333333335,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1.0
67,"['💔', '🇫🇷']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,['💔'],2366,0.4894336432797971,0.7041420118343196,0.5152155536770922,0.996196111580727,0.6770921386306001,0.7865595942519019,0.23795435333896872,0.8372781065088757
69,"['‼', '✅']",1,0.0,1.0,1.0,5.0,1.0,5.0,0.0,3.0
70,"['❌', '👇']",5,0.2,0.0,0.0,1.4,0.2,1.4,0.0,0.2
71,"['⚡', '💥']",18,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
72,"['🤔', '🤣']",4,0.5,1.0,0.5,1.25,0.5,0.75,0.25,1.5
73,"['❌', '😭', '✅']",1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,"['⚽', '🔥', '🚨']",2,0.0,1.0,0.0,1.5,0.5,1.5,0.0,0.5
