,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
0,"['❤', '⚽', '🚨']",3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,"['🙄', '👇']",2,1.5,1.0,1.0,1.5,1.0,2.0,0.0,2.5
2,"['✨', '🥺', '🥰']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"['❤', '👉', '✨', '📍']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"['🤔', '🥰']",2,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0
5,"['🔥', '✅', '⚡']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,"['🔥', '🚨']",16,0.4375,1.25,0.5,0.6875,0.8125,0.125,0.5,1.0625
7,"['❤', '🥺', '🥰', '💥']",1,0.0,3.0,1.0,2.0,4.0,0.0,4.0,3.0
8,"['❤', '‼', '✨']",1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,"['😭', '💔', '🥺']",3,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,1.0
10,"['🇫🇷', '🔴']",23,1.5217391304347827,0.13043478260869565,1.0434782608695652,1.826086956521739,0.30434782608695654,0.8695652173913043,0.21739130434782608,1.8695652173913044
11,"['❤', '🚨']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,"['‼', '🎉', '✨', '👀']",1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
13,"['❤', '😎', '🔥', '🙏']",1,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0
14,"['‼', '🎉', '🔥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"['👇', '✅']",5,0.0,1.0,0.0,0.2,0.6,0.4,0.4,1.2
16,"['‼', '🚨', '✅']",2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
17,"['😂', '❤', '✨']",1,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0
18,"['😩', '🎉']",1,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0
19,"['😎', '🔥']",15,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.4,0.4666666666666667,0.2,0.5333333333333333
20,"['❤', '➡']",2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21,"['🎉', '🤔']",1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
22,"['❌', '➡', '✅']",1,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0
23,"['💔', '🙄']",2,0.5,1.0,0.5,0.0,1.0,0.5,0.5,1.5
24,"['❤', '🤣', '👀']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"['🙏', '😭']",23,1.434782608695652,1.1304347826086956,1.6521739130434783,3.217391304347826,1.1304347826086956,2.6956521739130435,0.5217391304347826,2.1739130434782608
26,"['❤', '‼']",9,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222
