,emoji,lit_emoji,emotion,count,english_portion,spanish_portion,arabic_portion,non_english_avg,abs_english_bias,rel_english_bias,non_spanish_avg,abs_spanish_bias,rel_spanish_bias,non_arabic_avg,abs_arabic_bias,rel_arabic_bias
0,:fire:,🔥,,296269,0.0747817145003362,0.0278298987678489,0.0116000149753687,0.0197149568716088,0.0550667576287274,3.7931462385306136,0.04319086473785245,-0.015360965970003547,0.6443468760526759,0.05130580663409255,-0.03970579165872385,0.22609555791801011
1,:face_with_tears_of_joy:,😂,Joy,223911,0.0565177202997437,0.0055380132743218,0.0812419651103387,0.043389989192330246,0.013127731107413457,1.3025520713827226,0.0688798427050412,-0.0633418294307194,0.08040107318532656,0.031027866787032753,0.05021409832330594,2.618354837861156
2,:loudly_crying_face:,😭,Sadness,181975,0.045932589964521,0.0019207984971811,0.0240855812845623,0.0130031898908717,0.0329294000736493,3.5324093818522098,0.03500908562454165,-0.03308828712736055,0.05486571451139543,0.023926694230851052,0.00015888705371124717,1.006640576929611
3,:sparkles:,✨,Anticipation,141841,0.0358023052241111,0.0047705610531005,0.0066988244040731,0.0057346927285868,0.030067612495524296,6.243107855742753,0.0212505648140921,-0.0164800037609916,0.22449102387796066,0.0202864331386058,-0.0135876087345327,0.3302120366997883
4,:pushpin:,📌,,120364,0.0303812625827152,0.0069807800913354,0.0044451493218192,0.0057129647065773,0.0246682978761379,5.317950336317927,0.0174132059522672,-0.0104324258609318,0.400889997538133,0.018681021337025303,-0.014235872015206102,0.23795001577397853
5,:rolling_on_the_floor_laughing:,🤣,Joy,107046,0.0270196456949697,0.0038947116254919,0.0180252735879008,0.01095999260669635,0.016059653088273354,2.4652978030716195,0.02252245964143525,-0.01862774801594335,0.1729256789665495,0.0154571786602308,0.002568094927669998,1.1661425402474874
6,:red_heart:,❤,,82115,0.0207267735949259,0.0241400578624287,0.0864420734754087,0.055291065668918706,-0.03456429207399281,0.3748665963328907,0.053584423535167305,-0.029444365672738605,0.4505051332050936,0.0224334157286773,0.06400865774673141,3.853272926463322
7,:soccer_ball:,⚽,,79061,0.0199559087522187,0.0154585256028781,0.0024526588207132,0.00895559221179565,0.011000316540423048,2.228318159231752,0.011204283786465949,0.004254241816412152,1.3796977921561575,0.0177072171775484,-0.0152545583568352,0.13851181674232876
8,:high_voltage:,⚡,,74945,0.0189169828541889,0.0057829909607569,0.0005998991226143,0.0031914450416856,0.0157255378125033,5.927403607801959,0.0097584409884016,-0.0039754500276447,0.5926142267632992,0.0123499869074729,-0.0117500877848586,0.04857487923742695
9,:pleading_face:,🥺,,66465,0.0167765329962461,0.0010883079521274,0.0093979282697523,0.00524311811093985,0.01153341488530625,3.1997244085044727,0.0130872306329992,-0.0119989226808718,0.08315800207442303,0.00893242047418675,0.0004655077955655496,1.0521144069416337
10,:police_car_light:,🚨,,55787,0.0140812825737092,0.0153718078377684,0.0155820480703441,0.015476927954056249,-0.0013956453803470482,0.9098241340600625,0.01483166532202665,0.00054014251574175,1.0364181974184368,0.0147265452057388,0.0008555028646052999,1.0580925704334183
11,:round_pushpin:,📍,,53045,0.0133891701314357,0.0069428410690999,0.0015626856260337,0.0042527633475668,0.0091364067838689,3.1483459193882153,0.0074759278787347,-0.0005330868096347996,0.9286928902630045,0.0101660056002678,-0.0086033199742341,0.15371677800300787
12,:folded_hands:,🙏,Trust,49921,0.0126006364809388,0.0062772822218825,0.0082214184916914,0.007249350356786951,0.005351286124151849,1.7381745757593154,0.010411027486315099,-0.004133745264432599,0.6029455046712487,0.009438959351410649,-0.0012175408597192485,0.8710089942767592
13,:warning:,⚠,,41084,0.010370075703269,0.0289518098539564,0.0013802101680985,0.01516601001102745,-0.004795934307758451,0.6837708596874689,0.00587514293568375,0.02307666691827265,4.927847742752319,0.0196609427786127,-0.0182807326105142,0.07020060958622501
14,:white_heavy_check_mark:,:white_heavy_check_mark:,,37482,0.009460889336723,0.009160647911782,0.0047402348361862,0.0069504413739841005,0.0025104479627388997,1.3611925959314828,0.0071005620864546,0.0020600858253274,1.2901299643949775,0.009310768624252501,-0.0045705337880663005,0.5091131599854102
15,:Brazil:,🇧🇷,,36218,0.0091418411503504,0.0021050737480393,0.000126465220443,0.00111576948424115,0.00802607166610925,8.193306305170992,0.0046341531853967,-0.0025290794373574,0.45425208529421934,0.00562345744919485,-0.00549699222875185,0.02248887300838507
16,:double_exclamation_mark:,‼,,35318,0.0089146707644838,0.0116223484688352,0.0021042161853667,0.00686328232710095,0.0020513884373828508,1.2988932029333198,0.00550944347492525,0.006112904993909949,2.1095322098740446,0.0102685096166595,-0.0081642934312928,0.20491933726709927
17,:thinking_face:,🤔,Anticipation,32705,0.0082551194108512,0.0035521764533084,0.004544493795687,0.0040483351244977005,0.0042067842863535,2.0391393392550374,0.0063998066032691005,-0.0028476301499607004,0.5550443432921714,0.0059036479320798,-0.0013591541363928003,0.7697772373912577
18,:red_circle:,🔴,,32011,0.0080799458021941,0.0274169054115137,0.0429062002448531,0.0351615528281834,-0.0270816070259893,0.22979490813948628,0.0254930730235236,0.0019238323879900987,1.075464907122609,0.0177484256068539,0.025157774637999203,2.4174651428397143
19,:party_popper:,🎉,Joy,30512,0.0077015809039564,0.0030264500023305,0.0055311583477215,0.0042788041750259995,0.0034227767289304,1.7999376902799256,0.00661636962583895,-0.0035899196235084497,0.45741852004629335,0.00536401545314345,0.00016714289457805,1.0311600322627892
20,:France:,🇫🇷,,30233,0.0076311580843377,0.0007566125005826,0.0003481478446228,0.0005523801726027,0.007078777911735,13.815047068726736,0.00398965296448025,-0.00323304046389765,0.18964368763867345,0.00419388529246015,-0.00384573744783735,0.08301320144561586
21,:broken_heart:,💔,Sadness,25547,0.0064483576085924,0.001853592229221,0.0163564633013554,0.0091050277652882,-0.002656670156695801,0.7082194337919507,0.0114024104549739,-0.0095488182257529,0.1625614370347838,0.0041509749189067,0.012205488382448702,3.940390780694823
22,:backhand_index_pointing_down:,👇,,25194,0.0063592563350248,0.0159875039700476,0.0112677858298226,0.0136276448999351,-0.0072683885649103,0.4666438244993517,0.008813521082423701,0.0071739828876239,1.8139746669387973,0.0111733801525362,9.440567728639937e-05,1.0084491600569923
23,:weary_face:,😩,Sadness,24886,0.0062815135807504,0.0002807487645428,0.0012446064352225,0.0007626775998826501,0.00551883598086775,8.23613225525033,0.00376306000798645,-0.00348231124344365,0.07460650745588931,0.0032811311726465998,-0.0020365247374240997,0.37932236467662633
24,:eyes:,👀,"Anticipation, Surprise",24798,0.0062593013652435,0.0027998998409812,0.0007962297445608,0.001798064792771,0.0044612365724724995,3.4811322653158023,0.00352776555490215,-0.00072786571392095,0.7936751457563515,0.00452960060311235,-0.00373337085855155,0.17578365386425016
25,:collision:,💥,,23600,0.0059569123405011,0.0175646833229814,0.003136573299566,0.0103506283112737,-0.0043937159707726,0.5755121487661718,0.00454674282003355,0.013017940502947849,3.863135439635838,0.01176079783174125,-0.00862422453217525,0.26669732312723665
26,:right_arrow:,➡,,23040,0.0058155618781841,0.0105871551478375,0.0001438578731379,0.0053655065104877,0.00045005536769640066,1.0838793815302803,0.0029797098756610004,0.007607445272176499,3.553082544819539,0.0082013585130108,-0.0080575006398729,0.017540737051024047
27,:smiling_face_with_3_hearts:,:smiling_face_with_3_hearts:,,22814,0.0057585168701776,0.0026448918358476,0.0046889412502723,0.0036669165430599495,0.0020916003271176506,1.5703975813347153,0.00522372906022495,-0.00257883722437735,0.5063225533626169,0.0042017043530126,0.00048723689725969997,1.1159617279855385
28,:cross_mark:,❌,,21206,0.005352639114096,0.0032399924989133,0.001610441723264,0.00242521711108865,0.0029274220030073503,2.207076261181939,0.00348154041868,-0.0002415479197666998,0.9306203890465586,0.00429631580650465,-0.00268587408324065,0.3748424919848259
