,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
0,"['🙄', '👇']",5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4
1,"['🎉', '🚨', '🔥']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"['❌', '👉', '✅', '❗']",1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
3,"['🤔', '🥰']",3,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
4,"['💔', '🤔', '😭', '👀']",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
5,"['🔥', '🚨']",169,0.09467455621301775,0.011834319526627219,0.11834319526627218,0.09467455621301775,0.05325443786982249,0.07100591715976332,0.07100591715976332,0.047337278106508875
6,"['❤', '‼', '✨']",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,"['❤', '🚨']",61,0.0,0.03278688524590164,0.0,0.0,0.03278688524590164,0.0,0.0,0.03278688524590164
8,"['❌', '➡', '🔴']",1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,"['🇫🇷', '🔴']",30,0.0,1.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.9666666666666667
10,"['‼', '🎉', '🔥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,"['👇', '✅']",170,0.029411764705882353,1.0823529411764705,0.011764705882352941,0.09411764705882353,1.011764705882353,0.029411764705882353,0.029411764705882353,1.1
12,"['😎', '➡', '👉']",11,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"['‼', '➡', '🚨']",7,1.1428571428571428,1.1428571428571428,0.0,1.1428571428571428,0.0,1.1428571428571428,0.0,0.5714285714285714
14,"['❤', '✅', '💥']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"['😎', '🔥']",18,0.05555555555555555,0.2777777777777778,0.0,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.1111111111111111,0.2222222222222222
16,"['❤', '➡']",33,0.36363636363636365,0.8787878787878788,0.12121212121212122,0.3939393939393939,0.8787878787878788,0.30303030303030304,0.3333333333333333,1.0
17,"['⚡', '⚠']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,"['👉', '🔥', '➡']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"['✨', '🥰', '🤣']",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"['😎', '🎉']",5,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
21,"['❌', '➡', '✅']",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
